wl,n
10.51,3.4696984099
10.52,3.4696976820
10.53,3.4696969664
10.54,3.4696962637
10.55,3.4696955748
10.56,3.4696949005
10.57,3.4696942418
10.58,3.4696935995
10.59,3.4696929747
10.60,3.4696923682
10.61,3.4696917813
10.62,3.4696912148
10.63,3.4696906700
10.64,3.4696901480
10.65,3.4696896500
10.66,3.4696891772
10.67,3.4696887309
10.68,3.4696883123
10.69,3.4696879230
10.70,3.4696875641
10.71,3.4696872371
10.72,3.4696869436
10.73,3.4696866848
10.74,3.4696864624
10.75,3.4696862779
10.76,3.4696861328
10.77,3.4696860287
10.78,3.4696859672
10.79,3.4696859498
10.80,3.4696859781
10.81,3.4696860539
10.82,3.4696861785
10.83,3.4696863537
10.84,3.4696865809
10.85,3.4696868618
10.86,3.4696871978
10.87,3.4696875903
10.88,3.4696880407
10.89,3.4696885505
10.90,3.4696891208
10.91,3.4696897528
10.92,3.4696904477
10.93,3.4696912064
10.94,3.4696920297
10.95,3.4696929185
10.96,3.4696938733
10.97,3.4696948947
10.98,3.4696959828
10.99,3.4696971379
11.00,3.4696983599
11.01,3.4696996485
11.02,3.4697010033
11.03,3.4697024237
11.04,3.4697039088
11.05,3.4697054576
11.06,3.4697070687
11.07,3.4697087406
11.08,3.4697104715
11.09,3.4697122595
11.10,3.4697141024
11.11,3.4697159975
11.12,3.4697179424
11.13,3.4697199341
11.14,3.4697219695
11.15,3.4697240454
11.16,3.4697261582
11.17,3.4697283043
11.18,3.4697304799
11.19,3.4697326811
11.20,3.4697349038
11.21,3.4697371439
11.22,3.4697393971
11.23,3.4697416591
11.24,3.4697439256
11.25,3.4697461922
11.26,3.4697484547
11.27,3.4697507086
11.28,3.4697529498
11.29,3.4697551740
11.30,3.4697573771
11.31,3.4697595552
11.32,3.4697617044
11.33,3.4697638210
11.34,3.4697659014
11.35,3.4697679422
11.36,3.4697699402
11.37,3.4697718925
11.38,3.4697737962
11.39,3.4697756487
11.40,3.4697774477
11.41,3.4697791909
11.42,3.4697808765
11.43,3.4697825027
11.44,3.4697840679
11.45,3.4697855710
11.46,3.4697870107
11.47,3.4697883862
11.48,3.4697896967
11.49,3.4697909419
11.50,3.4697921212
11.51,3.4697932347
11.52,3.4697942822
11.53,3.4697952640
11.54,3.4697961803
11.55,3.4697970315
11.56,3.4697978183
11.57,3.4697985412
11.58,3.4697992011
11.59,3.4697997987
11.60,3.4698003351
11.61,3.4698008112
11.62,3.4698012282
11.63,3.4698015871
11.64,3.4698018892
11.65,3.4698021356
11.66,3.4698023277
11.67,3.4698024667
11.68,3.4698025539
11.69,3.4698025906
11.70,3.4698025782
11.71,3.4698025180
11.72,3.4698024113
11.73,3.4698022595
11.74,3.4698020638
11.75,3.4698018256
11.76,3.4698015462
11.77,3.4698012267
11.78,3.4698008685
11.79,3.4698004728
11.80,3.4698000408
11.81,3.4697995737
11.82,3.4697990726
11.83,3.4697985385
11.84,3.4697979727
11.85,3.4697973762
11.86,3.4697967499
11.87,3.4697960949
11.88,3.4697954122
11.89,3.4697947027
11.90,3.4697939672
11.91,3.4697932066
11.92,3.4697924218
11.93,3.4697916136
11.94,3.4697907828
11.95,3.4697899301
11.96,3.4697890561
11.97,3.4697881617
11.98,3.4697872474
11.99,3.4697863139
12.00,3.4697853618
12.01,3.4697843917
12.02,3.4697834041
12.03,3.4697823995
12.04,3.4697813784
12.05,3.4697803414
12.06,3.4697792888
12.07,3.4697782212
12.08,3.4697771388
12.09,3.4697760421
12.10,3.4697749315
12.11,3.4697738073
12.12,3.4697726699
12.13,3.4697715195
12.14,3.4697703564
12.15,3.4697691810
12.16,3.4697679935
12.17,3.4697667941
12.18,3.4697655831
12.19,3.4697643606
12.20,3.4697631270
12.21,3.4697618823
12.22,3.4697606268
12.23,3.4697593606
12.24,3.4697580839
12.25,3.4697567968
12.26,3.4697554995
12.27,3.4697541921
12.28,3.4697528747
12.29,3.4697515474
12.30,3.4697502103
12.31,3.4697488635
12.32,3.4697475071
12.33,3.4697461412
12.34,3.4697447659
12.35,3.4697433812
12.36,3.4697419872
12.37,3.4697405839
12.38,3.4697391715
12.39,3.4697377499
12.40,3.4697363193
12.41,3.4697348797
12.42,3.4697334311
12.43,3.4697319736
12.44,3.4697305073
12.45,3.4697290323
12.46,3.4697275485
12.47,3.4697260560
12.48,3.4697245550
12.49,3.4697230455
12.50,3.4697215275
12.51,3.4697200013
12.52,3.4697184668
12.53,3.4697169242
12.54,3.4697153736
12.55,3.4697138151
12.56,3.4697122490
12.57,3.4697106753
12.58,3.4697090942
12.59,3.4697075059
12.60,3.4697059108
12.61,3.4697043089
12.62,3.4697027006
12.63,3.4697010862
12.64,3.4696994660
12.65,3.4696978404
12.66,3.4696962097
12.67,3.4696945745
12.68,3.4696929351
12.69,3.4696912921
12.70,3.4696896461
12.71,3.4696879976
12.72,3.4696863475
12.73,3.4696846964
12.74,3.4696830451
12.75,3.4696813945
12.76,3.4696797456
12.77,3.4696780993
12.78,3.4696764569
12.79,3.4696748195
12.80,3.4696731884
12.81,3.4696715651
12.82,3.4696699512
12.83,3.4696683482
12.84,3.4696667579
12.85,3.4696651824
12.86,3.4696636236
12.87,3.4696620838
12.88,3.4696605654
12.89,3.4696590710
12.90,3.4696576032
12.91,3.4696561651
12.92,3.4696547598
12.93,3.4696533907
12.94,3.4696520613
12.95,3.4696507755
12.96,3.4696495373
12.97,3.4696483509
12.98,3.4696472210
12.99,3.4696461523
13.00,3.4696451498
13.01,3.4696442190
13.02,3.4696433654
13.03,3.4696425947
13.04,3.4696419131
13.05,3.4696413269
13.06,3.4696408426
13.07,3.4696404670
13.08,3.4696402070
13.09,3.4696400696
13.10,3.4696400620
13.11,3.4696401915
13.12,3.4696404652
13.13,3.4696408905
13.14,3.4696414743
13.15,3.4696422236
13.16,3.4696431449
13.17,3.4696442446
13.18,3.4696455283
13.19,3.4696470013
13.20,3.4696486680
13.21,3.4696505323
13.22,3.4696525967
13.23,3.4696548631
13.24,3.4696573321
13.25,3.4696600029
13.26,3.4696628735
13.27,3.4696659403
13.28,3.4696691984
13.29,3.4696726411
13.30,3.4696762602
13.31,3.4696800458
13.32,3.4696839865
13.33,3.4696880693
13.34,3.4696922798
13.35,3.4696966021
13.36,3.4697010193
13.37,3.4697055133
13.38,3.4697100653
13.39,3.4697146556
13.40,3.4697192643
13.41,3.4697238713
13.42,3.4697284566
13.43,3.4697330003
13.44,3.4697374831
13.45,3.4697418866
13.46,3.4697461932
13.47,3.4697503863
13.48,3.4697544507
13.49,3.4697583726
13.50,3.4697621396
13.51,3.4697657408
13.52,3.4697691668
13.53,3.4697724100
13.54,3.4697754640
13.55,3.4697783243
13.56,3.4697809876
13.57,3.4697834519
13.58,3.4697857165
13.59,3.4697877822
13.60,3.4697896504
13.61,3.4697913236
13.62,3.4697928054
13.63,3.4697940998
13.64,3.4697952116
13.65,3.4697961460
13.66,3.4697969088
13.67,3.4697975060
13.68,3.4697979439
13.69,3.4697982288
13.70,3.4697983675
13.71,3.4697983664
13.72,3.4697982322
13.73,3.4697979715
13.74,3.4697975905
13.75,3.4697970958
13.76,3.4697964935
13.77,3.4697957894
13.78,3.4697949895
13.79,3.4697940993
13.80,3.4697931241
13.81,3.4697920691
13.82,3.4697909392
13.83,3.4697897391
13.84,3.4697884732
13.85,3.4697871457
13.86,3.4697857606
13.87,3.4697843217
13.88,3.4697828326
13.89,3.4697812965
13.90,3.4697797167
13.91,3.4697780961
13.92,3.4697764376
13.93,3.4697747436
13.94,3.4697730166
13.95,3.4697712590
13.96,3.4697694728
13.97,3.4697676600
13.98,3.4697658225
13.99,3.4697639620
14.00,3.4697620801
14.01,3.4697601782
14.02,3.4697582578
14.03,3.4697563201
14.04,3.4697543663
14.05,3.4697523975
14.06,3.4697504147
14.07,3.4697484189
14.08,3.4697464108
